Order ID,Order Date,Ship Date,Ship Mode,Customer ID
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520
CA-2016-152156,11/8/2016,11/11/2016,Second Class,CG-12520
US-2015-108966,10/11/2015,10/18/2015,Standard Class,SO-20335
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710
CA-2014-115812,6/9/2014,6/14/2014,Standard Class,BH-11710
US-2017-156909,7/16/2017,7/18/2017,Second Class,SF-20065
CA-2015-106320,9/25/2015,9/30/2015,Standard Class,EB-13870
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520
US-2015-150630,9/17/2015,9/21/2015,Standard Class,TB-21520
CA-2016-117590,12/8/2016,12/10/2016,First Class,GH-14485
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710
CA-2015-117415,12/27/2015,12/31/2015,Standard Class,SN-20710
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000
CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000
CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055
CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720
US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745
US-2015-134026,4/26/2015,5/2/2015,Standard Class,JE-15745
US-2017-118038,12/9/2017,12/11/2017,First Class,KB-16600
US-2014-147606,11/26/2014,12/1/2014,Second Class,JE-15745
CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865
CA-2015-149587,1/31/2015,2/5/2015,Second Class,KB-16315
CA-2017-161018,11/9/2017,11/11/2017,Second Class,PN-18775
US-2015-156867,11/13/2015,11/17/2015,Standard Class,LC-16870
CA-2017-146780,12/25/2017,12/30/2017,Standard Class,CV-12805
CA-2015-110457,3/2/2015,3/6/2015,Standard Class,DK-13090
CA-2016-103730,6/12/2016,6/15/2016,First Class,SC-20725
US-2014-152030,12/26/2014,12/28/2014,Second Class,AD-10180
US-2014-134614,9/20/2014,9/25/2014,Standard Class,PF-19165
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975
US-2016-125969,11/6/2016,11/10/2016,Second Class,LS-16975
CA-2016-145583,10/13/2016,10/19/2016,Standard Class,LC-16885
CA-2016-110366,9/5/2016,9/7/2016,Second Class,JD-15895
CA-2014-110072,10/22/2014,10/28/2014,Standard Class,MG-17680
CA-2016-114489,12/5/2016,12/9/2016,Standard Class,JE-16165
CA-2014-104269,3/1/2014,3/6/2014,Second Class,DB-13060
CA-2014-139892,9/8/2014,9/12/2014,Standard Class,BM-11140
CA-2014-118962,8/5/2014,8/9/2014,Standard Class,CS-12130
US-2015-101511,11/21/2015,11/23/2015,Second Class,JE-15745
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470
CA-2015-102281,10/12/2015,10/14/2015,First Class,MP-17470
CA-2014-133690,8/3/2014,8/5/2014,First Class,BS-11755
CA-2017-126382,6/3/2017,6/7/2017,Standard Class,HK-14890
CA-2015-146262,1/2/2015,1/9/2015,Standard Class,VW-21775
CA-2015-169397,12/24/2015,12/27/2015,First Class,JB-15925
CA-2015-163055,8/9/2015,8/16/2015,Standard Class,DS-13180
US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670
US-2015-145436,2/28/2015,3/4/2015,Standard Class,VD-21670
US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400
US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400
US-2017-100930,4/7/2017,4/12/2017,Standard Class,CS-12400
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645
CA-2016-157749,6/4/2016,6/9/2016,Second Class,KL-16645
CA-2014-131926,6/1/2014,6/6/2014,Second Class,DW-13480
CA-2016-154739,12/10/2016,12/15/2016,Second Class,LH-17155
US-2015-159982,11/28/2015,12/4/2015,Standard Class,DR-12880
CA-2015-155334,7/30/2015,7/31/2015,First Class,HA-14920
CA-2015-130890,11/2/2015,11/6/2015,Standard Class,JO-15280
CA-2016-110772,11/20/2016,11/24/2016,Second Class,NZ-18565
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
CA-2014-111451,12/26/2014,12/28/2014,First Class,KL-16555
CA-2016-142545,10/28/2016,11/3/2016,Standard Class,JD-15895
US-2017-152380,11/19/2017,11/23/2017,Standard Class,JH-15910
CA-2015-144253,5/4/2015,5/9/2015,Second Class,AS-10225
CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185
CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185
CA-2016-142902,9/12/2016,9/14/2016,Second Class,BP-11185
CA-2014-120887,9/27/2014,10/3/2014,Standard Class,TS-21205
CA-2014-164973,11/4/2014,11/9/2014,Standard Class,NM-18445
CA-2017-153339,11/3/2017,11/5/2017,Second Class,DJ-13510
US-2016-141544,8/30/2016,9/1/2016,First Class,PO-18850
CA-2014-129924,7/12/2014,7/17/2014,Standard Class,AC-10420
CA-2016-138520,4/8/2016,4/13/2016,Standard Class,JL-15505
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,KW-16435
CA-2017-144904,9/25/2017,10/1/2017,Standard Class,KW-16435
CA-2016-155516,10/21/2016,10/21/2016,Same Day,MK-17905
US-2017-134481,8/27/2017,9/1/2017,Standard Class,AR-10405
US-2015-168935,11/27/2015,12/2/2015,Standard Class,DO-13435
CA-2015-122756,12/3/2015,12/7/2015,Standard Class,DK-13225
CA-2016-108987,9/8/2016,9/10/2016,Second Class,AG-10675
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510
CA-2017-117457,12/8/2017,12/12/2017,Standard Class,KH-16510
CA-2017-142636,11/3/2017,11/7/2017,Standard Class,KC-16675
CA-2016-148796,4/14/2016,4/18/2016,Standard Class,PB-19150
CA-2017-125388,10/19/2017,10/23/2017,Standard Class,MP-17965
CA-2017-155705,8/21/2017,8/23/2017,Second Class,NF-18385
CA-2017-149160,11/23/2017,11/26/2017,Second Class,JM-15265
CA-2017-157252,1/20/2017,1/23/2017,Second Class,CV-12805
CA-2016-115756,9/5/2016,9/7/2016,Second Class,PK-19075
CA-2016-115756,9/5/2016,9/7/2016,Second Class,PK-19075
CA-2017-154214,3/20/2017,3/25/2017,Second Class,TB-21595
CA-2017-147277,10/20/2017,10/24/2017,Standard Class,EB-13705
US-2014-110674,2/12/2014,2/18/2014,Standard Class,SC-20095
US-2016-157945,9/26/2016,10/1/2016,Standard Class,NF-18385
CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
CA-2016-109869,4/22/2016,4/29/2016,Standard Class,TN-21040
US-2015-101399,1/17/2015,1/24/2015,Standard Class,JS-15940
CA-2017-154907,3/31/2017,4/4/2017,Standard Class,DS-13180
CA-2014-144666,11/9/2014,11/11/2014,Second Class,JP-15520
CA-2016-152632,10/27/2016,11/2/2016,Standard Class,JE-15475
CA-2017-140963,6/10/2017,6/13/2017,First Class,MT-18070
US-2016-120929,3/18/2016,3/21/2016,Second Class,RO-19780
