Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,NewOrderID,NewCustomerID
CA-2014-101560,2014-11-28,2014-12-01,Second Class,CS-12250,CA-2014-101560-0,CS-12250-0
CA-2016-119641,2016-09-22,2016-09-26,Standard Class,CS-12250,CA-2016-119641-0,CS-12250-1
CA-2016-118073,2016-08-12,2016-08-16,Standard Class,CS-12490,CA-2016-118073-0,CS-12490-0
CA-2014-151295,2014-11-12,2014-11-16,Standard Class,JA-15970,CA-2014-151295-0,JA-15970-0
US-2017-150070,2017-09-07,2017-09-12,Standard Class,JA-15970,US-2017-150070-0,JA-15970-1
CA-2015-131856,2015-05-12,2015-05-17,Standard Class,JG-15160,CA-2015-131856-0,JG-15160-0
CA-2016-124772,2016-12-05,2016-12-06,First Class,JG-15160,CA-2016-124772-0,JG-15160-1
US-2017-116897,2017-05-27,2017-05-29,First Class,JG-15160,US-2017-116897-0,JG-15160-2
CA-2017-118885,2017-12-29,2018-01-02,Standard Class,JG-15160,CA-2017-118885-0,JG-15160-3
CA-2014-138177,2014-09-19,2014-09-24,Standard Class,ND-18460,CA-2014-138177-0,ND-18460-0
CA-2014-125759,2014-02-08,2014-02-09,First Class,NM-18445,CA-2014-125759-0,NM-18445-0
CA-2014-150581,2014-04-08,2014-04-12,Standard Class,NM-18445,CA-2014-150581-0,NM-18445-1
CA-2014-164973,2014-11-04,2014-11-09,Standard Class,NM-18445,CA-2014-164973-0,NM-18445-2
CA-2015-136805,2015-05-23,2015-05-27,Second Class,NM-18445,CA-2015-136805-0,NM-18445-3
CA-2015-140144,2015-06-20,2015-06-25,Second Class,SC-20770,CA-2015-140144-0,SC-20770-0
US-2016-114013,2016-03-13,2016-03-15,Second Class,SC-20770,US-2016-114013-0,SC-20770-1
CA-2017-112529,2017-11-19,2017-11-21,First Class,SC-20770,CA-2017-112529-0,SC-20770-2
CA-2015-143364,2015-07-14,2015-07-19,Second Class,TG-21310,CA-2015-143364-0,TG-21310-0
CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,CA-2014-115812-0,BH-11710-0
US-2014-140914,2014-11-11,2014-11-15,Standard Class,BH-11710,US-2014-140914-0,BH-11710-1
CA-2015-127754,2015-07-26,2015-07-31,Standard Class,CK-12760,CA-2015-127754-0,CK-12760-0
US-2017-117247,2017-10-09,2017-10-14,Standard Class,CK-12760,US-2017-117247-0,CK-12760-1
US-2016-156097,2016-09-19,2016-09-19,Same Day,EH-14125,US-2016-156097-0,EH-14125-0
CA-2017-112725,2017-01-30,2017-02-06,Standard Class,EH-14125,CA-2017-112725-0,EH-14125-1
US-2015-164966,2015-07-30,2015-08-01,First Class,GH-14410,US-2015-164966-0,GH-14410-0
US-2017-131849,2017-06-06,2017-06-10,Standard Class,GH-14410,US-2017-131849-0,GH-14410-1
CA-2017-163006,2017-06-30,2017-07-04,Second Class,GH-14410,CA-2017-163006-0,GH-14410-2
CA-2016-146171,2016-03-11,2016-03-15,Standard Class,JP-16135,CA-2016-146171-0,JP-16135-0
CA-2016-134180,2016-11-03,2016-11-07,Standard Class,JP-16135,CA-2016-134180-0,JP-16135-1
CA-2016-125087,2016-04-18,2016-04-23,Standard Class,TH-21115,CA-2016-125087-0,TH-21115-0
CA-2017-127782,2017-11-02,2017-11-06,Standard Class,TH-21115,CA-2017-127782-0,TH-21115-1
CA-2016-163804,2016-12-02,2016-12-08,Standard Class,DB-13270,CA-2016-163804-0,DB-13270-0
CA-2016-143609,2016-12-11,2016-12-13,First Class,DB-13270,CA-2016-143609-0,DB-13270-1
CA-2017-154011,2017-06-19,2017-06-26,Standard Class,DB-13270,CA-2017-154011-0,DB-13270-2
CA-2014-163468,2014-11-18,2014-11-21,First Class,JK-15730,CA-2014-163468-0,JK-15730-0
CA-2014-150798,2014-12-01,2014-12-03,Second Class,JK-15730,CA-2014-150798-0,JK-15730-1
US-2017-153255,2017-09-03,2017-09-07,Second Class,JK-15730,US-2017-153255-0,JK-15730-2
CA-2014-143917,2014-07-25,2014-07-27,Second Class,KL-16645,CA-2014-143917-0,KL-16645-0
CA-2015-115798,2015-11-13,2015-11-19,Standard Class,KL-16645,CA-2015-115798-0,KL-16645-1
CA-2016-157749,2016-06-04,2016-06-09,Second Class,KL-16645,CA-2016-157749-0,KL-16645-2
CA-2016-133550,2016-07-31,2016-08-06,Standard Class,KL-16645,CA-2016-133550-0,KL-16645-3
CA-2014-124478,2014-08-08,2014-08-12,Standard Class,MA-17560,CA-2014-124478-0,MA-17560-0
CA-2015-130974,2015-11-27,2015-11-29,Second Class,MA-17560,CA-2015-130974-0,MA-17560-1
CA-2016-128916,2016-08-18,2016-08-20,Second Class,MA-17560,CA-2016-128916-0,MA-17560-2
CA-2015-124975,2015-06-22,2015-06-25,First Class,MG-17875,CA-2015-124975-0,MG-17875-0
CA-2015-134992,2015-09-22,2015-09-26,Second Class,MG-17875,CA-2015-134992-0,MG-17875-1
CA-2015-143147,2015-05-26,2015-05-28,Second Class,PS-18760,CA-2015-143147-0,PS-18760-0
CA-2016-153269,2016-03-09,2016-03-12,First Class,PS-18760,CA-2016-153269-0,PS-18760-1
CA-2017-128965,2017-04-17,2017-04-22,Standard Class,PS-18760,CA-2017-128965-0,PS-18760-2
CA-2017-156237,2017-09-14,2017-09-15,First Class,PS-18760,CA-2017-156237-0,PS-18760-3
US-2014-119081,2014-09-12,2014-09-19,Standard Class,TA-21385,US-2014-119081-0,TA-21385-0
CA-2016-129847,2016-09-02,2016-09-04,First Class,TA-21385,CA-2016-129847-0,TA-21385-1
