Product_ID,Category,Sub_Category,Product_Name,NewProductID
FUR-CH-10000225,Furniture,Chairs,"Global Geo Office Task Chair, Gray",FUR-CH-10000225-0
FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",FUR-CH-10004495-0
FUR-FU-10000965,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",FUR-FU-10000965-0
FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,FUR-TA-10004534-0
FUR-CH-10002758,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",FUR-CH-10002758-0
FUR-CH-10003379,Furniture,Chairs,Global Commerce Series High-Back Swivel/Tilt Chairs,FUR-CH-10003379-0
FUR-CH-10004860,Furniture,Chairs,Global Low Back Tilter Chair,FUR-CH-10004860-0
FUR-FU-10001290,Furniture,Furnishings,Executive Impressions Supervisor Wall Clock,FUR-FU-10001290-0
FUR-BO-10004357,Furniture,Bookcases,O'Sullivan Living Dimensions 3-Shelf Bookcases,FUR-BO-10004357-0
FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",FUR-BO-10004834-0
FUR-TA-10002356,Furniture,Tables,Bevis Boat-Shaped Conference Table,FUR-TA-10002356-0
FUR-BO-10001601,Furniture,Bookcases,"Sauder Mission Library with Doors, Fruitwood Finish",FUR-BO-10001601-0
FUR-CH-10001190,Furniture,Chairs,Global Deluxe High-Back Office Chair in Storm,FUR-CH-10001190-0
FUR-CH-10002439,Furniture,Chairs,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",FUR-CH-10002439-0
FUR-FU-10000755,Furniture,Furnishings,Eldon Expressions Mahogany Wood Desk Collection,FUR-FU-10000755-0
FUR-FU-10000771,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Smoke",FUR-FU-10000771-0
FUR-TA-10000617,Furniture,Tables,"Hon Practical Foundations 30 x 60 Training Table, Light Gray/Charcoal",FUR-TA-10000617-0
FUR-TA-10001705,Furniture,Tables,Bush Advantage Collection Round Conference Table,FUR-TA-10001705-0
FUR-TA-10003569,Furniture,Tables,Bretford CR8500 Series Meeting Room Furniture,FUR-TA-10003569-0
FUR-CH-10001270,Furniture,Chairs,Harbour Creations Steel Folding Chair,FUR-CH-10001270-0
FUR-CH-10001891,Furniture,Chairs,Global Deluxe Office Fabric Chairs,FUR-CH-10001891-0
FUR-FU-10001468,Furniture,Furnishings,Tenex Antistatic Computer Chair Mats,FUR-FU-10001468-0
FUR-FU-10002878,Furniture,Furnishings,"Seth Thomas 14"" Day/Date Wall Clock",FUR-FU-10002878-0
