Order ID,Product ID,Sales,Quantity,Discount,Profit
CA-2016-152156,FUR-BO-10001798,261.96,2,0.0,41.9136
CA-2016-152156,FUR-CH-10000454,731.94,3,0.0,219.582
US-2015-108966,FUR-TA-10000577,957.5775,5,0.45,-383.031
CA-2014-115812,FUR-FU-10001487,48.86,7,0.0,14.1694
CA-2014-115812,FUR-TA-10001539,1706.184,9,0.2,85.3092
US-2017-156909,FUR-CH-10002774,71.372,2,0.3,-1.0196
CA-2015-106320,FUR-TA-10000577,1044.63,3,0.0,240.2649
US-2015-150630,FUR-BO-10004834,3083.43,7,0.5,-1665.0522
US-2015-150630,FUR-FU-10004848,124.2,3,0.2,15.525
CA-2016-117590,FUR-FU-10003664,190.92,5,0.6,-147.963
CA-2015-117415,FUR-BO-10002545,532.3992,3,0.32,-46.9764
CA-2015-117415,FUR-CH-10004218,212.058,3,0.3,-15.147
CA-2015-115742,FUR-FU-10001706,6.16,2,0.0,2.9568
CA-2015-115742,FUR-CH-10003061,89.99,1,0.0,17.0981
CA-2016-111682,FUR-CH-10003968,319.41,5,0.1,7.098
CA-2015-135545,FUR-FU-10000397,79.76,4,0.0,22.3328
US-2015-164175,FUR-CH-10001146,213.115,5,0.3,-15.2225
US-2015-134026,FUR-CH-10000513,831.936,8,0.2,-114.3912
US-2015-134026,FUR-FU-10003708,97.04,2,0.2,1.213
US-2017-118038,FUR-FU-10000260,9.708,3,0.6,-5.8248
US-2014-147606,FUR-FU-10003194,19.3,5,0.6,-14.475
CA-2017-140088,FUR-CH-10000863,301.96,2,0.0,33.2156
CA-2015-149587,FUR-FU-10003799,53.34,3,0.0,16.5354
CA-2017-161018,FUR-FU-10000629,96.53,7,0.0,40.5426
US-2015-156867,FUR-FU-10004006,102.36,3,0.2,-3.8385
CA-2017-146780,FUR-FU-10001934,41.96,2,0.0,10.9096
CA-2015-110457,FUR-TA-10001768,787.53,3,0.0,165.3813
CA-2016-103730,FUR-FU-10002157,47.04,3,0.0,18.3456
US-2014-152030,FUR-CH-10004063,600.558,3,0.3,-8.5794
US-2014-134614,FUR-TA-10004534,617.7,6,0.5,-407.682
US-2016-125969,FUR-CH-10001146,81.424,2,0.2,-9.1602
US-2016-125969,FUR-FU-10003773,238.56,3,0.0,26.2416
CA-2016-145583,FUR-FU-10001706,43.12,14,0.0,20.6976
CA-2016-110366,FUR-FU-10004848,82.8,2,0.2,10.35
CA-2014-110072,FUR-FU-10000521,93.888,4,0.2,12.9096
CA-2016-114489,FUR-CH-10000454,1951.84,8,0.0,585.552
CA-2014-104269,FUR-CH-10004063,457.568,2,0.2,51.4764
CA-2014-139892,FUR-CH-10004287,1740.06,9,0.3,-24.858
CA-2014-118962,FUR-CH-10003817,340.144,7,0.2,21.259
US-2015-101511,FUR-CH-10004698,396.802,7,0.3,-11.3372
CA-2015-102281,FUR-BO-10002613,899.136,4,0.2,112.392
CA-2015-102281,FUR-BO-10002545,626.352,3,0.2,46.9764
CA-2014-133690,FUR-TA-10004289,218.75,2,0.5,-161.875
CA-2017-126382,FUR-FU-10002960,35.168,7,0.2,9.6712
CA-2015-146262,FUR-BO-10004695,452.45,5,0.5,-244.323
CA-2015-169397,FUR-FU-10000087,72.704,4,0.2,19.0848
CA-2015-163055,FUR-TA-10003748,622.45,5,0.0,136.939
US-2015-145436,FUR-CH-10004860,161.568,2,0.2,-28.2744
US-2015-145436,FUR-CH-10004477,389.696,8,0.2,43.8408
US-2017-100930,FUR-TA-10001705,233.86,2,0.45,-102.048
US-2017-100930,FUR-TA-10003473,620.6145,3,0.45,-248.2458
US-2017-100930,FUR-FU-10004017,258.072,3,0.2,0.0
CA-2016-157749,FUR-FU-10000576,419.68,5,0.6,-356.728
CA-2016-157749,FUR-FU-10004351,11.688,3,0.6,-4.6752
CA-2016-157749,FUR-TA-10002607,177.225,5,0.5,-120.513
CA-2016-157749,FUR-FU-10002505,4.044,3,0.6,-2.8308
CA-2014-131926,FUR-CH-10004063,2001.86,7,0.0,580.5394
CA-2016-154739,FUR-CH-10002965,321.568,2,0.2,28.1372
